pair_id,wiki_a,title_a,url_a,wiki_b,title_b,url_b,same_subject,note
p021,itwiki,McLaren MCL40,https://it.wikipedia.org/wiki/McLaren_MCL40,plwiki,McLaren MCL40,https://pl.wikipedia.org/wiki/McLaren_MCL40,,
p022,itwiki,Charles Leclerc,https://it.wikipedia.org/wiki/Charles_Leclerc,ptwiki,Charles Leclerc,https://pt.wikipedia.org/wiki/Charles_Leclerc,,
p023,itwiki,Sepp Kuss,https://it.wikipedia.org/wiki/Sepp_Kuss,nlwiki,Sepp Kuss,https://nl.wikipedia.org/wiki/Sepp_Kuss,,
p024,itwiki,Fußball-Bundesliga 2026-2027,https://it.wikipedia.org/wiki/Fu%C3%9Fball-Bundesliga_2026-2027,ptwiki,Bundesliga de 2026–27,https://pt.wikipedia.org/wiki/Bundesliga_de_2026%E2%80%9327,,
p025,enwiki,Gareth Taylor,https://en.wikipedia.org/wiki/Gareth_Taylor,plwiki,Gareth Taylor,https://pl.wikipedia.org/wiki/Gareth_Taylor,,
p026,enwiki,Yap State,https://en.wikipedia.org/wiki/Yap_State,frwiki,Yap (État),https://fr.wikipedia.org/wiki/Yap_%28%C3%89tat%29,,
p027,enwiki,2026–27 Lille OSC season,https://en.wikipedia.org/wiki/2026%E2%80%9327_Lille_OSC_season,frwiki,Saison 2026-2027 du LOSC Lille,https://fr.wikipedia.org/wiki/Saison_2026-2027_du_LOSC_Lille,,
p028,enwiki,Galatia,https://en.wikipedia.org/wiki/Galatia,fawiki,گالاتیا,https://fa.wikipedia.org/wiki/%DA%AF%D8%A7%D9%84%D8%A7%D8%AA%DB%8C%D8%A7,,
p029,enwiki,Vanja Milinković-Savić,https://en.wikipedia.org/wiki/Vanja_Milinkovi%C4%87-Savi%C4%87,itwiki,Vanja Milinković-Savić,https://it.wikipedia.org/wiki/Vanja_Milinkovi%C4%87-Savi%C4%87,,
p030,eswiki,Yuki Tsunoda,https://es.wikipedia.org/wiki/Yuki_Tsunoda,plwiki,Yūki Tsunoda,https://pl.wikipedia.org/wiki/Y%C5%ABki_Tsunoda,,
p031,enwiki,Cristián Rodríguez (cyclist),https://en.wikipedia.org/wiki/Cristi%C3%A1n_Rodr%C3%ADguez_%28cyclist%29,frwiki,Cristián Rodríguez (cyclisme),https://fr.wikipedia.org/wiki/Cristi%C3%A1n_Rodr%C3%ADguez_%28cyclisme%29,,
p032,dewiki,Solheim Cup,https://de.wikipedia.org/wiki/Solheim_Cup,enwiki,Solheim Cup,https://en.wikipedia.org/wiki/Solheim_Cup,,
p033,nlwiki,Liam Lawson,https://nl.wikipedia.org/wiki/Liam_Lawson,ruwiki,"Лоусон, Лиам",https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%83%D1%81%D0%BE%D0%BD%2C_%D0%9B%D0%B8%D0%B0%D0%BC,,
p034,eswiki,Williams FW48,https://es.wikipedia.org/wiki/Williams_FW48,itwiki,Williams FW48,https://it.wikipedia.org/wiki/Williams_FW48,,
p035,dewiki,Punktewertung (Vuelta a España),https://de.wikipedia.org/wiki/Punktewertung_%28Vuelta_a_Espa%C3%B1a%29,nlwiki,Puntenklassement Ronde van Spanje,https://nl.wikipedia.org/wiki/Puntenklassement_Ronde_van_Spanje,,
p036,enwiki,Spider-Man: Brand New Day,https://en.wikipedia.org/wiki/Spider-Man%3A_Brand_New_Day,ruwiki,Spider-Man: Brand New Day,https://ru.wikipedia.org/wiki/Spider-Man%3A_Brand_New_Day,,
p037,nlwiki,Lijst van Formule 1-coureurs met een snelste ronde,https://nl.wikipedia.org/wiki/Lijst_van_Formule_1-coureurs_met_een_snelste_ronde,plwiki,Lista autorów najszybszego okrążenia w Formule 1,https://pl.wikipedia.org/wiki/Lista_autor%C3%B3w_najszybszego_okr%C4%85%C5%BCenia_w_Formule_1,,
p038,enwiki,Justify (horse),https://en.wikipedia.org/wiki/Justify_%28horse%29,jawiki,ジャスティファイ,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%82%B9%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%82%A4,,
p039,enwiki,Manchester derby,https://en.wikipedia.org/wiki/Manchester_derby,itwiki,Derby di Manchester,https://it.wikipedia.org/wiki/Derby_di_Manchester,,
p040,enwiki,Rumesh Tharanga,https://en.wikipedia.org/wiki/Rumesh_Tharanga,itwiki,Rumesh Tharanga,https://it.wikipedia.org/wiki/Rumesh_Tharanga,,
p041,enwiki,Cristián Rodríguez (cyclist),https://en.wikipedia.org/wiki/Cristi%C3%A1n_Rodr%C3%ADguez_%28cyclist%29,nlwiki,Cristian Rodríguez (wielrenner),https://nl.wikipedia.org/wiki/Cristian_Rodr%C3%ADguez_%28wielrenner%29,,
p042,eswiki,Lorena Wiebes,https://es.wikipedia.org/wiki/Lorena_Wiebes,frwiki,Lorena Wiebes,https://fr.wikipedia.org/wiki/Lorena_Wiebes,,
p043,enwiki,Carlos Corberán,https://en.wikipedia.org/wiki/Carlos_Corber%C3%A1n,eswiki,Carlos Corberán,https://es.wikipedia.org/wiki/Carlos_Corber%C3%A1n,,
p044,enwiki,Vincent Kompany,https://en.wikipedia.org/wiki/Vincent_Kompany,ruwiki,"Компани, Венсан",https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%2C_%D0%92%D0%B5%D0%BD%D1%81%D0%B0%D0%BD,,
p045,enwiki,Spanish Grand Prix,https://en.wikipedia.org/wiki/Spanish_Grand_Prix,zhwiki,西班牙大奖赛,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%8F%AD%E7%89%99%E5%A4%A7%E5%A5%96%E8%B5%9B,,
p046,nlwiki,Feyenoord,https://nl.wikipedia.org/wiki/Feyenoord,zhwiki,飛燕諾,https://zh.wikipedia.org/wiki/%E9%A3%9B%E7%87%95%E8%AB%BE,,
p047,eswiki,Antonio Vergara,https://es.wikipedia.org/wiki/Antonio_Vergara,itwiki,Antonio Vergara,https://it.wikipedia.org/wiki/Antonio_Vergara,,
p048,eswiki,Akane-banashi,https://es.wikipedia.org/wiki/Akane-banashi,frwiki,Akane-banashi,https://fr.wikipedia.org/wiki/Akane-banashi,,
p049,dewiki,Lando Norris,https://de.wikipedia.org/wiki/Lando_Norris,plwiki,Lando Norris,https://pl.wikipedia.org/wiki/Lando_Norris,,
p050,frwiki,Tour d'Espagne 2026,https://fr.wikipedia.org/wiki/Tour_d%27Espagne_2026,ruwiki,Вуэльта Испании 2026,https://ru.wikipedia.org/wiki/%D0%92%D1%83%D1%8D%D0%BB%D1%8C%D1%82%D0%B0_%D0%98%D1%81%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8_2026,,
p051,enwiki,Djamel Sedjati,https://en.wikipedia.org/wiki/Djamel_Sedjati,itwiki,Djamel Sedjati,https://it.wikipedia.org/wiki/Djamel_Sedjati,,
p052,eswiki,Exequiel Zeballos,https://es.wikipedia.org/wiki/Exequiel_Zeballos,ruwiki,"Себальос, Эсекиэль",https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B1%D0%B0%D0%BB%D1%8C%D0%BE%D1%81%2C_%D0%AD%D1%81%D0%B5%D0%BA%D0%B8%D1%8D%D0%BB%D1%8C,,
p053,enwiki,Djamel Sedjati,https://en.wikipedia.org/wiki/Djamel_Sedjati,eswiki,Yamel Sedyati,https://es.wikipedia.org/wiki/Yamel_Sedyati,,
p054,arwiki,تاريخ دلهي,https://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%AF%D9%84%D9%87%D9%8A,enwiki,History of Delhi,https://en.wikipedia.org/wiki/History_of_Delhi,,
p055,enwiki,Akkadian Empire,https://en.wikipedia.org/wiki/Akkadian_Empire,frwiki,Empire d'Akkad,https://fr.wikipedia.org/wiki/Empire_d%27Akkad,,
p056,frwiki,Azé (Saône-et-Loire),https://fr.wikipedia.org/wiki/Az%C3%A9_%28Sa%C3%B4ne-et-Loire%29,trwiki,"Azé, Saône-et-Loire",https://tr.wikipedia.org/wiki/Az%C3%A9%2C_Sa%C3%B4ne-et-Loire,,
p057,enwiki,2026,https://en.wikipedia.org/wiki/2026,svwiki,2026,https://sv.wikipedia.org/wiki/2026,,
p058,eswiki,Anderson Peters,https://es.wikipedia.org/wiki/Anderson_Peters,itwiki,Anderson Peters,https://it.wikipedia.org/wiki/Anderson_Peters,,
p059,frwiki,Valencia Club de Fútbol,https://fr.wikipedia.org/wiki/Valencia_Club_de_F%C3%BAtbol,nlwiki,Valencia CF,https://nl.wikipedia.org/wiki/Valencia_CF,,
p060,frwiki,Melissa Jefferson-Wooden,https://fr.wikipedia.org/wiki/Melissa_Jefferson-Wooden,plwiki,Melissa Jefferson-Wooden,https://pl.wikipedia.org/wiki/Melissa_Jefferson-Wooden,,
p061,itwiki,Andrzej Maria Deskur,https://it.wikipedia.org/wiki/Andrzej_Maria_Deskur,plwiki,Andrzej Maria Deskur,https://pl.wikipedia.org/wiki/Andrzej_Maria_Deskur,,
p062,frwiki,Cadillac MAC-26,https://fr.wikipedia.org/wiki/Cadillac_MAC-26,plwiki,Cadillac MAC-26,https://pl.wikipedia.org/wiki/Cadillac_MAC-26,,
p063,eswiki,Karim Adeyemi,https://es.wikipedia.org/wiki/Karim_Adeyemi,itwiki,Karim Adeyemi,https://it.wikipedia.org/wiki/Karim_Adeyemi,,
p064,plwiki,Alexander Albon,https://pl.wikipedia.org/wiki/Alexander_Albon,ptwiki,Alexander Albon,https://pt.wikipedia.org/wiki/Alexander_Albon,,
p065,frwiki,Animal Well,https://fr.wikipedia.org/wiki/Animal_Well,trwiki,Animal Well,https://tr.wikipedia.org/wiki/Animal_Well,,
p066,itwiki,Williams FW48,https://it.wikipedia.org/wiki/Williams_FW48,plwiki,Williams FW48,https://pl.wikipedia.org/wiki/Williams_FW48,,
p067,kowiki,홍콩 특별행정구 여권,https://ko.wikipedia.org/wiki/%ED%99%8D%EC%BD%A9_%ED%8A%B9%EB%B3%84%ED%96%89%EC%A0%95%EA%B5%AC_%EC%97%AC%EA%B6%8C,ruwiki,Паспорт САР Гонконг,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%A1%D0%90%D0%A0_%D0%93%D0%BE%D0%BD%D0%BA%D0%BE%D0%BD%D0%B3,,
p068,dewiki,Wahl zum Abgeordnetenhaus von Berlin 2026,https://de.wikipedia.org/wiki/Wahl_zum_Abgeordnetenhaus_von_Berlin_2026,enwiki,2026 Berlin state election,https://en.wikipedia.org/wiki/2026_Berlin_state_election,,
p069,frwiki,Mercedes-AMG F1 W17 E Performance,https://fr.wikipedia.org/wiki/Mercedes-AMG_F1_W17_E_Performance,itwiki,Mercedes-AMG F1 W17 E Performance,https://it.wikipedia.org/wiki/Mercedes-AMG_F1_W17_E_Performance,,
p070,jawiki,アンドレ・ジル,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AC%E3%83%BB%E3%82%B8%E3%83%AB,ruwiki,Андре Жилль,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5_%D0%96%D0%B8%D0%BB%D0%BB%D1%8C,,
p071,frwiki,Cadillac MAC-26,https://fr.wikipedia.org/wiki/Cadillac_MAC-26,itwiki,Cadillac MAC-26,https://it.wikipedia.org/wiki/Cadillac_MAC-26,,
p072,eswiki,Jacory Patterson,https://es.wikipedia.org/wiki/Jacory_Patterson,itwiki,Jacory Patterson,https://it.wikipedia.org/wiki/Jacory_Patterson,,
p073,dewiki,Enric Mas,https://de.wikipedia.org/wiki/Enric_Mas,eswiki,Enric Mas,https://es.wikipedia.org/wiki/Enric_Mas,,
p074,dewiki,Tom Bischof,https://de.wikipedia.org/wiki/Tom_Bischof,enwiki,Tom Bischof,https://en.wikipedia.org/wiki/Tom_Bischof,,
p075,eswiki,Cristián Rodríguez,https://es.wikipedia.org/wiki/Cristi%C3%A1n_Rodr%C3%ADguez,itwiki,Cristián Rodríguez (ciclista),https://it.wikipedia.org/wiki/Cristi%C3%A1n_Rodr%C3%ADguez_%28ciclista%29,,
p076,dewiki,Albert Sambi Lokonga,https://de.wikipedia.org/wiki/Albert_Sambi_Lokonga,frwiki,Albert Sambi Lokonga,https://fr.wikipedia.org/wiki/Albert_Sambi_Lokonga,,
p077,plwiki,Formuła 1 Sezon 2026,https://pl.wikipedia.org/wiki/Formu%C5%82a_1_Sezon_2026,trwiki,2026 Formula 1 sezonu,https://tr.wikipedia.org/wiki/2026_Formula_1_sezonu,,
p078,frwiki,Oscar Onley,https://fr.wikipedia.org/wiki/Oscar_Onley,nlwiki,Oscar Onley,https://nl.wikipedia.org/wiki/Oscar_Onley,,
p079,enwiki,Sakarias Koller Løland,https://en.wikipedia.org/wiki/Sakarias_Koller_L%C3%B8land,frwiki,Sakarias Koller Løland,https://fr.wikipedia.org/wiki/Sakarias_Koller_L%C3%B8land,,
p080,plwiki,Diablo V,https://pl.wikipedia.org/wiki/Diablo_V,ruwiki,Diablo V,https://ru.wikipedia.org/wiki/Diablo_V,,
p081,nlwiki,The Odyssey (2026),https://nl.wikipedia.org/wiki/The_Odyssey_%282026%29,ruwiki,"Одиссея (фильм, 2026)",https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B8%D1%81%D1%81%D0%B5%D1%8F_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%2C_2026%29,,
p082,enwiki,A Gentleman in Moscow,https://en.wikipedia.org/wiki/A_Gentleman_in_Moscow,ptwiki,A Gentleman in Moscow,https://pt.wikipedia.org/wiki/A_Gentleman_in_Moscow,,
p083,dewiki,Nico Hülkenberg,https://de.wikipedia.org/wiki/Nico_H%C3%BClkenberg,plwiki,Nico Hülkenberg,https://pl.wikipedia.org/wiki/Nico_H%C3%BClkenberg,,
p084,ptwiki,Grande Prêmio da Espanha de 2026,https://pt.wikipedia.org/wiki/Grande_Pr%C3%AAmio_da_Espanha_de_2026,ruwiki,Гран-при Испании 2026 года,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD-%D0%BF%D1%80%D0%B8_%D0%98%D1%81%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8_2026_%D0%B3%D0%BE%D0%B4%D0%B0,,
p085,eswiki,Campeonato Definitivo de Atletismo de 2026,https://es.wikipedia.org/wiki/Campeonato_Definitivo_de_Atletismo_de_2026,plwiki,World Athletics Ultimate Championship 2026,https://pl.wikipedia.org/wiki/World_Athletics_Ultimate_Championship_2026,,
p086,itwiki,André Gill,https://it.wikipedia.org/wiki/Andr%C3%A9_Gill,ruwiki,Андре Жилль,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5_%D0%96%D0%B8%D0%BB%D0%BB%D1%8C,,
p087,jawiki,オリバー・ベアマン,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AA%E3%83%90%E3%83%BC%E3%83%BB%E3%83%99%E3%82%A2%E3%83%9E%E3%83%B3,ptwiki,Oliver Bearman,https://pt.wikipedia.org/wiki/Oliver_Bearman,,
p088,eswiki,Audi R26,https://es.wikipedia.org/wiki/Audi_R26,plwiki,Audi R26,https://pl.wikipedia.org/wiki/Audi_R26,,
p089,ruwiki,Человек-паук: Новый день,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D0%BF%D0%B0%D1%83%D0%BA%3A_%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B4%D0%B5%D0%BD%D1%8C,trwiki,Örümcek-Adam: Yepyeni Bir Gün,https://tr.wikipedia.org/wiki/%C3%96r%C3%BCmcek-Adam%3A_Yepyeni_Bir_G%C3%BCn,,
p090,jawiki,シャルル・ルクレール (レーシングドライバー),https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%AB%E3%83%BB%E3%83%AB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB_%28%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%B3%E3%82%B0%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%29,ptwiki,Charles Leclerc,https://pt.wikipedia.org/wiki/Charles_Leclerc,,
p091,enwiki,Curtis Blaydes,https://en.wikipedia.org/wiki/Curtis_Blaydes,frwiki,Curtis Blaydes,https://fr.wikipedia.org/wiki/Curtis_Blaydes,,
p092,kowiki,이현중 (농구 선수),https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%98%84%EC%A4%91_%28%EB%86%8D%EA%B5%AC_%EC%84%A0%EC%88%98%29,zhwiki,李賢重,https://zh.wikipedia.org/wiki/%E6%9D%8E%E8%B3%A2%E9%87%8D,,
p093,eswiki,Vuelta a España 2026,https://es.wikipedia.org/wiki/Vuelta_a_Espa%C3%B1a_2026,nlwiki,Ronde van Spanje 2026,https://nl.wikipedia.org/wiki/Ronde_van_Spanje_2026,,
p094,frwiki,Clément Berthet,https://fr.wikipedia.org/wiki/Cl%C3%A9ment_Berthet,itwiki,Clément Berthet,https://it.wikipedia.org/wiki/Cl%C3%A9ment_Berthet,,
p095,enwiki,2026–27 Segunda División,https://en.wikipedia.org/wiki/2026%E2%80%9327_Segunda_Divisi%C3%B3n,frwiki,Championnat d'Espagne de football de deuxième division 2026-2027,https://fr.wikipedia.org/wiki/Championnat_d%27Espagne_de_football_de_deuxi%C3%A8me_division_2026-2027,,
p096,jawiki,オスカー・ピアストリ,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%BB%E3%83%94%E3%82%A2%E3%82%B9%E3%83%88%E3%83%AA,nlwiki,Oscar Piastri,https://nl.wikipedia.org/wiki/Oscar_Piastri,,
p097,eswiki,Gianmarco Tamberi,https://es.wikipedia.org/wiki/Gianmarco_Tamberi,itwiki,Gianmarco Tamberi,https://it.wikipedia.org/wiki/Gianmarco_Tamberi,,
p098,dewiki,Großer Preis von Spanien,https://de.wikipedia.org/wiki/Gro%C3%9Fer_Preis_von_Spanien,zhwiki,西班牙大奖赛,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%8F%AD%E7%89%99%E5%A4%A7%E5%A5%96%E8%B5%9B,,
p099,eswiki,Riccardo Orsolini,https://es.wikipedia.org/wiki/Riccardo_Orsolini,ptwiki,Riccardo Orsolini,https://pt.wikipedia.org/wiki/Riccardo_Orsolini,,
p100,enwiki,Blandine Brocard,https://en.wikipedia.org/wiki/Blandine_Brocard,frwiki,Blandine Brocard,https://fr.wikipedia.org/wiki/Blandine_Brocard,,
p101,dewiki,Flagge Russlands,https://de.wikipedia.org/wiki/Flagge_Russlands,itwiki,Bandiera della Russia,https://it.wikipedia.org/wiki/Bandiera_della_Russia,,
p102,nlwiki,Fernando Alonso,https://nl.wikipedia.org/wiki/Fernando_Alonso,plwiki,Fernando Alonso,https://pl.wikipedia.org/wiki/Fernando_Alonso,,
p103,frwiki,Erling Haaland,https://fr.wikipedia.org/wiki/Erling_Haaland,plwiki,Erling Haaland,https://pl.wikipedia.org/wiki/Erling_Haaland,,
p104,frwiki,Santiago Buitrago,https://fr.wikipedia.org/wiki/Santiago_Buitrago,nlwiki,Santiago Buitrago,https://nl.wikipedia.org/wiki/Santiago_Buitrago,,
p105,eswiki,Máximo Quiles,https://es.wikipedia.org/wiki/M%C3%A1ximo_Quiles,nlwiki,Máximo Quiles,https://nl.wikipedia.org/wiki/M%C3%A1ximo_Quiles,,
p106,eswiki,Exequiel Zeballos,https://es.wikipedia.org/wiki/Exequiel_Zeballos,itwiki,Exequiel Zeballos,https://it.wikipedia.org/wiki/Exequiel_Zeballos,,
p107,ruwiki,Флаг России,https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D0%B0%D0%B3_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8,svwiki,Rysslands flagga,https://sv.wikipedia.org/wiki/Rysslands_flagga,,
p108,plwiki,Lance Stroll,https://pl.wikipedia.org/wiki/Lance_Stroll,ptwiki,Lance Stroll,https://pt.wikipedia.org/wiki/Lance_Stroll,,
p109,eswiki,Sepp Kuss,https://es.wikipedia.org/wiki/Sepp_Kuss,nlwiki,Sepp Kuss,https://nl.wikipedia.org/wiki/Sepp_Kuss,,
p110,fawiki,مراقب (فیلم ۱۴۰۵),https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%A7%D9%82%D8%A8_%28%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B4%DB%B0%DB%B5%29,ruwiki,Падающий дом,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B4%D0%B0%D1%8E%D1%89%D0%B8%D0%B9_%D0%B4%D0%BE%D0%BC,,
p111,itwiki,Ferrari SF-26,https://it.wikipedia.org/wiki/Ferrari_SF-26,plwiki,Ferrari SF-26,https://pl.wikipedia.org/wiki/Ferrari_SF-26,,
p112,frwiki,Vaugneray,https://fr.wikipedia.org/wiki/Vaugneray,trwiki,Vaugneray,https://tr.wikipedia.org/wiki/Vaugneray,,
p113,enwiki,Kingdom Hearts II,https://en.wikipedia.org/wiki/Kingdom_Hearts_II,itwiki,Kingdom Hearts II,https://it.wikipedia.org/wiki/Kingdom_Hearts_II,,
p114,plwiki,Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2026,https://pl.wikipedia.org/wiki/Mistrzostwa_Europy_w_Pi%C5%82ce_Siatkowej_M%C4%99%C5%BCczyzn_2026,zhwiki,2026年歐洲男子排球錦標賽,https://zh.wikipedia.org/wiki/2026%E5%B9%B4%E6%AD%90%E6%B4%B2%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%8C%A6%E6%A8%99%E8%B3%BD,,
p115,eswiki,2. Bundesliga 2026-27,https://es.wikipedia.org/wiki/2._Bundesliga_2026-27,itwiki,2. Fußball-Bundesliga 2026-2027,https://it.wikipedia.org/wiki/2._Fu%C3%9Fball-Bundesliga_2026-2027,,
p116,enwiki,Olivier Giroud,https://en.wikipedia.org/wiki/Olivier_Giroud,itwiki,Olivier Giroud,https://it.wikipedia.org/wiki/Olivier_Giroud,,
p117,enwiki,2026–27 J1 League,https://en.wikipedia.org/wiki/2026%E2%80%9327_J1_League,eswiki,J1 League 2026-27,https://es.wikipedia.org/wiki/J1_League_2026-27,,
p118,enwiki,San Marino and Rimini Riviera motorcycle Grand Prix,https://en.wikipedia.org/wiki/San_Marino_and_Rimini_Riviera_motorcycle_Grand_Prix,frwiki,Grand Prix moto de Saint-Marin,https://fr.wikipedia.org/wiki/Grand_Prix_moto_de_Saint-Marin,,
p119,eswiki,1. Bundesliga 2026-27,https://es.wikipedia.org/wiki/1._Bundesliga_2026-27,ptwiki,Bundesliga de 2026–27,https://pt.wikipedia.org/wiki/Bundesliga_de_2026%E2%80%9327,,
p120,enwiki,Pierre-Emerick Aubameyang,https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang,frwiki,Pierre-Emerick Aubameyang,https://fr.wikipedia.org/wiki/Pierre-Emerick_Aubameyang,,
